NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento y Archivo del expediente;1;Fin proc. Archivo expediente
202;ANULADO - Solicitud Creada por Error;0;ANULADO - Sol. Creada Error
55;Resolución de Inadmisión;0;Resol. Inadm.
55;Diligencia de duplicidad de expediente;0;Diligencia duplicidad expediente
52;Resolución de desistimiento por duplicidad;0;Resol. desistimiento duplicidad
52;Resolución Aceptación Renuncia;0;Resol. Aceptación Renun.
52;Resolución de desistimiento;0;Resol. desistimiento
51;Resolución Desestimatoria - Incumplimiento de requisitos;0;Resol. Desest. - Incumplimiento requisitos
50;Resolución de Concesión;0;Resol. Conce.
43;IPR Desestimatorio por incumplimiento de requisitos;0;IPR Desestimatorio incumplimiento requisitos
42;IPR Concesión;0;IPR Conce.
30;Evaluación de requisitos;0;Eval. requisitos
25;Tramite de Audiencia - Inadmisión;0;Tramite Audi. - Inadm.
25;Tramite de Audiencia;0;Tramite Audi.
10;Requerimiento por duplicidad;0;Req. duplicidad
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud;0;Present. sol.
